Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
1862,Apollo             ,1000000,JPL#35  ,11/13/2046,0.0353,17.98
,1999 FN53          ,1100000,JPL#36  ,5/27/2047,0.1344,13.78
3362,Khufu              ,130000,JPL#06  ,8/20/2047,0.1572,11.26
1862,Apollo             ,610000,JPL#35  ,5/13/2048,0.0498,16.15
5189,1990 UQ            ,570000,JPL#04  ,7/30/2048,0.1999,10.93
,1999 RQ36          ,1100000,JPL#31  ,11/14/2048,0.1202,4.66
,1999 RQ36          ,1300000,JPL#31  ,03-07-2049,0.1828,4.48
4953,1990 MU            ,270000,JPL#14  ,11/24/2049,0.1227,25.43
,1996 JG            ,250000,JPL#11  ,11/26/2049,0.0481,21.65
2340,Hathor             ,360000,JPL#10  ,1/13/2050,0.1441,10.29
4581,Asclepius          ,110000,JPL#04  ,3/30/2050,0.1894,6.49
4769,Castalia           ,360000,JPL#19  ,04-11-2050,0.1558,17.79
5189,1990 UQ            ,190000,JPL#04  ,5/14/2050,0.0805,11.28
8014,1990 MF            ,99000,JPL#11  ,8/31/2050,0.0603,7.57
5011,Ptah               ,120000,JPL#08  ,11-10-2050,0.1057,14.13
4660,Nereus             ,28000,JPL#09  ,11/25/2050,0.1548,10.94
3200,Phaethon           ,110000,JPL#13  ,12-11-2050,0.0825,36.24
4581,Asclepius          ,21000,JPL#04  ,3/24/2051,0.0112,11.04
4183,Cuno               ,320000,JPL#11  ,06-09-2051,0.1953,22.12
,1997 BR            ,230000,JPL#05  ,7/23/2051,0.0291,12.08
1620,Geographos         ,5400000,JPL#65  ,8/23/2051,0.0479,11.01
2340,Hathor             ,430000,JPL#10  ,11-02-2052,0.1697,9.98
7753,1988 XB            ,120000,JPL#06  ,11/16/2052,0.1138,10.24
5011,Ptah               ,10000,JPL#08  ,03-09-2053,0.0966,10.07
,1990 OS            ,13000,JPL#07  ,11/17/2053,0.0172,10.26
11500,1989 UR            ,390000,JPL#18  ,11/26/2053,0.0351,11.68
4183,Cuno               ,130000,JPL#11  ,12/22/2053,0.1537,21.57
,1999 RQ36          ,230000,JPL#31  ,9/29/2054,0.0386,5.1
7335,1989 JA            ,550000,JPL#10  ,6/23/2055,0.1851,10.62
6037,1988 EG            ,960000,JPL#21  ,8/24/2056,0.064,13.3
2201,Oljato             ,83000,JPL#17  ,12/14/2056,0.1181,24.07
2340,Hathor             ,330000,JPL#10  ,1/16/2057,0.1203,15.07
4769,Castalia           ,430000,JPL#19  ,8/19/2057,0.1648,19.84
7482,1994 PC1           ,200000,JPL#14  ,1/25/2058,0.1491,18.58
4953,1990 MU            ,86000,JPL#14  ,06-05-2058,0.023,23.12
4450,Pan                ,140000,JPL#03  ,09-05-2058,0.0785,20.33
1981,Midas              ,200000,JPL#15  ,9/23/2058,0.1199,30.66
4486,Mithra             ,130000,JPL#07  ,04-01-2059,0.1029,14.85
